DBN,boro,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score
01M292,Manhattan,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,29,355,404,363
01M448,Manhattan,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,91,383,423,366
01M450,Manhattan,EAST SIDE COMMUNITY SCHOOL,70,377,402,370
01M458,Manhattan,FORSYTH SATELLITE ACADEMY,7,414,401,359
01M509,Manhattan,MARTA VALLE HIGH SCHOOL,44,390,433,384
01M515,Manhattan,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,112,332,557,316
01M539,Manhattan,"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525
01M650,Manhattan,CASCADES HIGH SCHOOL,18,417,418,411
01M696,Manhattan,BARD HIGH SCHOOL EARLY COLLEGE,130,624,604,628
02M047,Manhattan,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,16,395,400,387
02M288,Manhattan,FOOD AND FINANCE HIGH SCHOOL,62,409,393,392
02M294,Manhattan,ESSEX STREET ACADEMY,53,394,384,378
02M296,Manhattan,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,58,374,375,362
02M298,Manhattan,PACE HIGH SCHOOL,85,423,438,432
02M300,Manhattan,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416
02M303,Manhattan,"FACING HISTORY SCHOOL, THE",76,353,358,340
02M305,Manhattan,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385
02M308,Manhattan,LOWER MANHATTAN ARTS ACADEMY,40,403,392,405
02M313,Manhattan,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390
02M316,Manhattan,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384
02M374,Manhattan,GRAMERCY ARTS HIGH SCHOOL,60,391,391,394
02M376,Manhattan,NYC ISCHOOL,92,473,483,479
02M392,Manhattan,MANHATTAN BUSINESS ACADEMY,s,s,s,s
02M393,Manhattan,BUSINESS OF SPORTS SCHOOL,s,s,s,s
02M394,Manhattan,EMMA LAZARUS HIGH SCHOOL,79,319,512,357
02M399,Manhattan,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,s,s,s,s
02M400,Manhattan,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,263,465,493,461
02M407,Manhattan,INSTITUTE FOR COLLABORATIVE EDUCATION,54,492,465,467
02M408,Manhattan,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,94,509,490,523
02M411,Manhattan,BARUCH COLLEGE CAMPUS HIGH SCHOOL,104,496,563,518
02M412,Manhattan,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,114,537,590,550
02M413,Manhattan,SCHOOL OF THE FUTURE HIGH SCHOOL,66,517,533,515
02M414,Manhattan,N.Y.C. MUSEUM SCHOOL,103,468,492,459
02M416,Manhattan,ELEANOR ROOSEVELT HIGH SCHOOL,127,572,594,592
02M418,Manhattan,MILLENNIUM HIGH SCHOOL,144,528,553,533
02M419,Manhattan,LANDMARK HIGH SCHOOL,62,390,399,381
02M420,Manhattan,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,336,429,449,428
02M425,Manhattan,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,84,416,426,391
02M427,Manhattan,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,s,s,s,s
02M429,Manhattan,LEGACY SCHOOL FOR INTEGRATED STUDIES,29,356,357,349
02M437,Manhattan,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,s,s,s,s
02M438,Manhattan,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,s,s,s,s
02M439,Manhattan,MANHATTAN VILLAGE ACADEMY,95,441,473,458
02M440,Manhattan,BAYARD RUSTIN EDUCATIONAL COMPLEX,59,378,365,368
02M449,Manhattan,VANGUARD HIGH SCHOOL,72,395,416,388
02M459,Manhattan,MANHATTAN INTERNATIONAL HIGH SCHOOL,49,376,460,391
02M460,Manhattan,WASHINGTON IRVING HIGH SCHOOL,151,373,387,360
02M473,Manhattan,WASHINGTON IRVING YABC,s,s,s,s
02M475,Manhattan,STUYVESANT HIGH SCHOOL,832,679,735,682
02M489,Manhattan,HIGH SCHOOL OF ECONOMICS AND FINANCE,167,443,489,442
02M500,Manhattan,UNITY CENTER FOR URBAN TECHNOLOGIES,25,370,349,351
02M519,Manhattan,TALENT UNLIMITED HIGH SCHOOL,81,469,472,475
02M520,Manhattan,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,264,407,440,393
02M529,Manhattan,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,131,414,425,400
02M531,Manhattan,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,42,429,404,420
02M542,Manhattan,MANHATTAN BRIDGES HIGH SCHOOL,66,336,378,344
02M543,Manhattan,NEW DESIGN HIGH SCHOOL,73,391,395,382
02M544,Manhattan,INDEPENDENCE HIGH SCHOOL,14,389,371,335
02M545,Manhattan,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,78,412,581,431
02M550,Manhattan,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,26,368,436,352
02M551,Manhattan,THE URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,77,405,423,384
02M560,Manhattan,HIGH SCHOOL M560 s CITY AS SCHOOL,56,498,440,477
02M565,Manhattan,URBAN ACADEMY LABORATORY HIGH SCHOOL,30,527,508,512
02M570,Manhattan,SATELLITE ACADEMY HIGH SCHOOL,33,350,337,345
02M575,Manhattan,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,121,345,517,343
02M580,Manhattan,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,84,408,384,403
02M586,Manhattan,HARVEY MILK HIGH SCHOOL,9,458,416,429
02M600,Manhattan,THE HIGH SCHOOL OF FASHION INDUSTRIES,335,423,423,411
02M605,Manhattan,HUMANITIES PREPARATORY ACADEMY,36,426,403,426
02M615,Manhattan,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,83,399,418,390
02M620,Manhattan,NORMAN THOMAS HIGH SCHOOL,154,370,379,359
02M625,Manhattan,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS,191,395,382,376
02M630,Manhattan,ART AND DESIGN HIGH SCHOOL,270,444,441,430
02M655,Manhattan,LIFE SCIENCES SECONDARY SCHOOL,61,409,424,403
03M283,Manhattan,MANHATTAN THEATRE LAB HIGH SCHOOL,27,406,379,408
03M299,Manhattan,"HIGH SCHOOL FOR ARTS, IMAGINATION AND INQUIRY",49,374,384,374
03M307,Manhattan,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",41,384,390,370
03M402,Manhattan,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,s,s,s,s
03M403,Manhattan,THE GLOBAL LEARNING COLLABORATIVE,s,s,s,s
03M404,Manhattan,INNOVATION DIPLOMA PLUS,12,416,403,381
03M415,Manhattan,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,32,371,368,370
03M417,Manhattan,FRANK MCCOURT HIGH SCHOOL,s,s,s,s
03M470,Manhattan,LOUIS D. BRANDEIS HIGH SCHOOL,131,370,390,358
03M479,Manhattan,BEACON HIGH SCHOOL,261,577,575,592
03M485,Manhattan,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,531,566,564,577
03M492,Manhattan,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",66,396,398,402
03M494,Manhattan,HIGH SCHOOL OF ARTS AND TECHNOLOGY,75,433,433,411
03M505,Manhattan,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,35,401,369,351
03M541,Manhattan,MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,111,473,506,467
03M577,Manhattan,YOUNG ADULT BOROUGH CENTER AT LOUIS D. BRANDEIS HS,s,s,s,s
03M860,Manhattan,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,43,356,379,361
04M409,Manhattan,COALITION SCHOOL FOR SOCIAL CHANGE,48,354,357,373
04M435,Manhattan,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,375,461,514,455
04M495,Manhattan,PARK EAST HIGH SCHOOL,51,373,379,376
04M555,Manhattan,CENTRAL PARK EAST HIGH SCHOOL,73,405,421,395
04M610,Manhattan,YOUNG WOMEN'S LEADERSHIP SCHOOL,70,432,446,448
04M635,Manhattan,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH SCHOOL,48,369,369,357
04M680,Manhattan,"HERITAGE SCHOOL, THE",31,358,351,345
05M285,Manhattan,HARLEM RENAISSANCE HIGH SCHOOL,29,357,318,333
05M304,Manhattan,MOTT HALL HIGH SCHOOL,54,413,399,398
05M362,Manhattan,"COLUMBIA SECONDARY SCHOOL FOR MATH, SCIENCE, AND ENGINEERING",s,s,s,s
05M367,Manhattan,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,33,354,366,342
05M369,Manhattan,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,56,360,353,364
05M469,Manhattan,CHOIR ACADEMY OF HARLEM,20,354,360,385
05M499,Manhattan,FREDERICK DOUGLASS ACADEMY,214,458,474,442
05M670,Manhattan,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE,66,396,402,404
05M685,Manhattan,BREAD & ROSES INTEGRATED ARTS HIGH SCHOOL,61,369,361,355
05M692,Manhattan,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERING AT CITY COLLEGE",101,605,654,588
